flightNumber,plane,dep_date,dep_time,dep_airport_name,dep_airport_code,dep_terminal,dep_status,dep_weather_min,dep_weather_max,dep_weather_desc,dep_counter,dep_door,arr_date,arr_time,arr_airport_name,arr_airport_code,arr_terminal,arr_status,arr_weather_min,arr_weather_max,arr_weather_desc,arr_room,arr_belt,timestamp
IBE0514,AIRBUS A319,2018-04-13,07:30,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 07:30,6,14,Chubascos Dispersos,810 - 859,H28,2018-04-13,08:45,A CORUÑA,LCG,-,El vuelo ha aterrizado a las 08:46,10,15,Chubascos Dispersos,S1,2,2018-04-13 10:34:06
IBE0531,AIRBUS A319,2018-04-13,09:25,VIGO,VGO,1,El vuelo ha despegado a las 09:22,6,15,Chubascos Dispersos,06 - 07,5,2018-04-13,10:40,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 10:31,6,14,Chubascos Dispersos,10,14,2018-04-13 10:55:12
CPA1870,BOMBARDIER CRJ-1000,2018-04-13,09:40,VALENCIA,VLC,1,El vuelo ha despegado a las 09:39,11,21,Nubosidad Variable,1 - 4,R55,2018-04-13,10:40,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 10:24,6,14,Chubascos Dispersos,10,07,2018-04-13 10:56:04
QTR6567,CANADAIR CRJ-900,2018-04-13,10:20,VALENCIA,VLC,1,El vuelo ha despegado a las 10:44,11,21,Nubosidad Variable,1 - 4,R58,2018-04-13,11:20,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,Llegada prevista a las 11:29,6,14,Chubascos Dispersos,10,19,2018-04-13 10:56:08
IBE0479,AIRBUS A321,2018-04-13,09:20,ASTURIAS,OVD,1,El vuelo ha despegado a las 09:32,8,14,Lluvia,1 - 3,8,2018-04-13,10:30,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 10:33,6,14,Chubascos Dispersos,10,11,2018-04-13 10:55:11
IBS3877,AIRBUS A320,2018-04-13,09:15,SANTIAGO,SCQ,T,El vuelo ha despegado a las 09:20,10,15,Chubascos Dispersos,5 - 8,3,2018-04-13,10:30,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 10:29,6,14,Chubascos Dispersos,10,16,2018-04-13 10:55:15
VLG2114,32B,2018-04-13,09:45,MALAGA-COSTA DEL SOL,AGP,3,El vuelo ha despegado a las 09:48,8,16,Chubascos Dispersos,307 - 311,D44,2018-04-13,11:20,BARCELONA-EL PRAT,BCN,T1,Llegada prevista a las 11:10,12,17,Lluvia Moderada,T1_G,02,2018-04-13 10:56:13
VLG3935,AIRBUS A320,2018-04-13,08:40,PALMA DE MALLORCA,PMI,N,El vuelo ha despegado a las 08:36,12,17,Lluvia,058 - 060,D88,2018-04-13,09:45,ALICANTE-ELCHE,ALC,N,El vuelo ha aterrizado a las 09:35,11,18,Nubosidad Variable,NT1,10A,2018-04-13 10:55:54
HTY222,AWH,2018-04-13,09:15,MALAGA-COSTA DEL SOL,AGP,3,El vuelo ha despegado a las 09:14,8,16,Chubascos Dispersos,370 - ,D47,2018-04-13,09:40,CEUTA,JCU,-,El vuelo ha aterrizado a las 09:43,11,17,Lluvia,-, - ,2018-04-13 10:56:10
IBS3947,AIRBUS A320,2018-04-13,09:05,SEVILLA,SVQ,1,El vuelo ha despegado a las 09:09,8,17,Lluvia,M18 - M20,1,2018-04-13,10:20,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 10:12,6,14,Chubascos Dispersos,10,12,2018-04-13 10:55:11
VLG7310,AIRBUS A320,2018-04-13,07:30,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 07:38,12,17,Lluvia Moderada,403 - 403,A17,2018-04-13,08:55,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 09:03,6,14,Chubascos Dispersos,10,14,2018-04-13 10:57:40
IBS3913,32A,2018-04-13,09:20,PALMA DE MALLORCA,PMI,N,El vuelo ha despegado a las 09:25,12,17,Lluvia,054 - 055,D92,2018-04-13,10:50,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 10:50,6,14,Chubascos Dispersos,10,18,2018-04-13 10:59:15
IBE8511,CANADAIR CRJ-900,2018-04-13,09:30,JEREZ DE LA FRONTERA,XRY,T,El vuelo ha despegado a las 09:28,5,15,Lluvia,9 - 10,2,2018-04-13,10:40,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 10:35,6,14,Chubascos Dispersos,10,08,2018-04-13 10:55:11
VLG1702,32A,2018-04-13,07:30,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 07:43,12,17,Lluvia Moderada,501 - 514,A05,2018-04-13,09:20,VIGO,VGO,1,El vuelo ha aterrizado a las 09:28,6,15,Chubascos Dispersos,S1,3,2018-04-13 10:56:11
IBB605,ATR-72,2018-04-13,07:30,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 07:30,17,22,Nubosidad Variable,21 - 26,2,2018-04-13,08:00,LA PALMA,SPC,N,El vuelo ha aterrizado a las 08:03,16,21,Cubierto De Nubes Altas Y Medias,LLNT,4,2018-04-13 10:55:54
IBB309,ATR-72,2018-04-13,07:20,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 07:22,16,21,Cubierto De Nubes Altas Y Medias,103 - 108,A07,2018-04-13,08:10,LA PALMA,SPC,N,El vuelo ha aterrizado a las 08:12,16,21,Cubierto De Nubes Altas Y Medias,LLNT,4,2018-04-13 10:55:55
IBB414,ATR-42/72,2018-04-13,07:10,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 07:06,17,22,Nubosidad Variable,21 - 26,4A,2018-04-13,08:00,FUERTEVENTURA,FUE,1,El vuelo ha aterrizado a las 07:51,16,22,Nubosidad Variable,A,14,2018-04-13 10:55:16
CNF803,ATR-72,2018-04-13,07:40,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 07:40,16,21,Cubierto De Nubes Altas Y Medias,116 - 116,A13,2018-04-13,08:20,FUERTEVENTURA,FUE,1,El vuelo ha aterrizado a las 08:14,16,22,Nubosidad Variable,A,13,2018-04-13 10:55:17
CNF412,ATR-72,2018-04-13,07:50,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 07:52,17,22,Nubosidad Variable,13 - 13,1,2018-04-13,08:20,LA PALMA,SPC,N,El vuelo ha aterrizado a las 08:22,16,21,Cubierto De Nubes Altas Y Medias,LLNT,2,2018-04-13 10:55:11
IBB607,ATR-42/72,2018-04-13,08:00,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 08:02,17,22,Nubosidad Variable,21 - 26,4A,2018-04-13,08:30,LA PALMA,SPC,N,El vuelo ha aterrizado a las 08:30,16,21,Cubierto De Nubes Altas Y Medias,LLNT,4,2018-04-13 10:57:43
IBE0478,AIRBUS A321,2018-04-13,07:35,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 07:53,6,14,Chubascos Dispersos,810 - 859,M35,2018-04-13,08:40,ASTURIAS,OVD,1,El vuelo ha aterrizado a las 08:58,8,14,Lluvia,SC,3,2018-04-13 10:57:11
VLG9010,AIRBUS A320,2018-04-13,09:00,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 09:12,12,17,Lluvia Moderada,403 - 403,A04,2018-04-13,10:25,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 10:31,6,14,Chubascos Dispersos,10,14,2018-04-13 10:56:51
AEA5035,ATR-72,2018-04-13,07:10,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,2,El vuelo ha despegado a las 07:39,6,14,Chubascos Dispersos,505 - 520,D59,2018-04-13,08:40,MALAGA-COSTA DEL SOL,AGP,3,El vuelo ha aterrizado a las 08:56,8,16,Chubascos Dispersos,3,37,2018-04-13 10:57:55
VLG2115,32B,2018-04-13,07:20,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 07:23,12,17,Lluvia Moderada,501 - 514,B40,2018-04-13,09:00,MALAGA-COSTA DEL SOL,AGP,3,El vuelo ha aterrizado a las 08:58,8,16,Chubascos Dispersos,3,36,2018-04-13 10:57:57
